"Team","Season","GP","TOI","CF","CA","C+/-","CF%","CF/60","CA/60","GF","GA","G+/-","GF%","GF/60","GA/60","xGF","xGA","xG+/-","xGF%","xGF/60","xGA/60","PENT","PEND","P+/-","Sh%","Sv%","PDO"
"ANA","2009-2010",82,3746.91,3141,3493,-352,47.35,50.3,55.93,146,144,2,50.34,2.34,2.31,132.19,156.27,-24.08,45.83,2.12,2.5,378,351,-27,8.23,92.75,100.98
"ARI","2009-2010",82,3697.48,3421,3159,262,51.99,55.51,51.26,148,123,25,54.61,2.4,2,134.86,125.55,9.31,51.79,2.19,2.04,267,269,2,7.89,92.91,100.8
"ATL","2009-2010",82,3702.9,3246,3435,-189,48.59,52.6,55.66,161,169,-8,48.79,2.61,2.74,132.37,157.6,-25.23,45.65,2.14,2.55,336,330,-6,8.98,91.52,100.5
"BOS","2009-2010",82,3909.25,3614,3254,360,52.62,55.47,49.94,130,139,-9,48.33,2,2.13,137.46,125.85,11.61,52.2,2.11,1.93,292,284,-8,6.53,92.45,98.98
"BUF","2009-2010",82,3745.89,3414,3372,42,50.31,54.68,54.01,153,143,10,51.69,2.45,2.29,147.96,143.79,4.17,50.71,2.37,2.3,283,311,28,7.83,92.54,100.37
"CAR","2009-2010",81,3679.53,3360,3521,-161,48.83,54.79,57.41,136,152,-16,47.22,2.22,2.48,140.46,155.97,-15.51,47.38,2.29,2.54,292,306,14,7.85,91.81,99.66
"CBJ","2009-2010",81,3716.38,2934,3186,-252,47.94,47.37,51.44,131,164,-33,44.41,2.11,2.65,116.91,125.87,-8.96,48.15,1.89,2.03,315,285,-30,7.65,90.88,98.53
"CGY","2009-2010",82,3811,3511,3259,252,51.86,55.28,51.31,132,135,-3,49.44,2.08,2.13,131.42,128.79,2.63,50.51,2.07,2.03,338,332,-6,7.36,92.35,99.71
"CHI","2009-2010",82,3881.33,3784,2907,877,56.55,58.5,44.94,178,147,31,54.77,2.75,2.27,157.7,119.19,38.51,56.95,2.44,1.84,276,299,23,8.3,90.53,98.83
"COL","2009-2010",82,3803.3,2977,3671,-694,44.78,46.96,57.91,153,146,7,51.17,2.41,2.3,134.13,146.16,-12.03,47.85,2.12,2.31,308,329,21,8.89,92.62,101.51
