"Team","Season","GP","TOI","CF","CA","C+/-","CF%","CF/60","CA/60","GF","GA","G+/-","GF%","GF/60","GA/60","xGF","xGA","xG+/-","xGF%","xGF/60","xGA/60","PENT","PEND","P+/-","Sh%","Sv%","PDO"
"ANA","2008-2009",82,3645.19,3060,2945,115,50.96,50.37,48.47,145,130,15,52.73,2.39,2.14,134.91,129.11,5.8,51.1,2.22,2.13,407,337,-70,8.4,92.42,100.82
"ARI","2008-2009",81,3733.4,3044,3639,-595,45.55,48.92,58.48,126,158,-32,44.37,2.02,2.54,116.34,136.9,-20.56,45.94,1.87,2.2,321,351,30,7.59,91.85,99.44
"ATL","2008-2009",82,3616.12,2922,3393,-471,46.27,48.48,56.3,147,161,-14,47.73,2.44,2.67,133.6,152.28,-18.68,46.73,2.22,2.53,392,368,-24,9.02,91.67,100.69
"BOS","2008-2009",81,3737.65,3306,3237,69,50.53,53.07,51.96,165,112,53,59.57,2.65,1.8,139.16,134.5,4.66,50.85,2.23,2.16,309,319,10,9.08,93.98,103.06
"BUF","2008-2009",82,3609.13,3163,3259,-96,49.25,52.58,54.18,149,145,4,50.68,2.48,2.41,131.47,125.4,6.07,51.18,2.19,2.08,332,353,21,8.2,92.05,100.24
"CAR","2008-2009",82,3645.27,3641,3344,297,52.13,59.93,55.04,133,136,-3,49.44,2.19,2.24,149.21,145.48,3.73,50.63,2.46,2.39,264,344,80,6.85,92.17,99.02
"CBJ","2008-2009",82,3683.35,3101,2859,242,52.03,50.51,46.57,151,131,20,53.55,2.46,2.13,127.02,114.97,12.05,52.49,2.07,1.87,353,338,-15,8.61,91.68,100.29
"CGY","2008-2009",81,3562.4,3600,2858,742,55.74,60.63,48.14,160,150,10,51.61,2.69,2.53,143.76,125.1,18.66,53.47,2.42,2.11,382,378,-4,8.3,91.06,99.36
"CHI","2008-2009",82,3646.73,3286,2655,631,55.31,54.06,43.68,146,124,22,54.07,2.4,2.04,141.25,122.22,19.03,53.61,2.32,2.01,335,368,33,7.45,92.42,99.86
"COL","2008-2009",82,3746.79,3102,3543,-441,46.68,49.67,56.74,123,165,-42,42.71,1.97,2.64,124.85,136.58,-11.73,47.76,2,2.19,304,324,20,7.05,90.75,97.8
