"Team","Season","GP","TOI","CF","CA","C+/-","CF%","CF/60","CA/60","GF","GA","G+/-","GF%","GF/60","GA/60","xGF","xGA","xG+/-","xGF%","xGF/60","xGA/60","PENT","PEND","P+/-","Sh%","Sv%","PDO"
"ANA","2013-2014",82,3822.9,3500,3528,-28,49.8,54.93,55.37,187,133,54,58.44,2.93,2.09,153.17,144.53,8.64,51.45,2.4,2.27,292,293,1,9.83,92.62,102.45
"ARI","2013-2014",82,3878.63,3584,3505,79,50.56,55.44,54.22,137,133,4,50.74,2.12,2.06,127.79,142.76,-14.97,47.23,1.98,2.21,265,266,1,7.26,93.01,100.27
"BOS","2013-2014",82,3993.08,3878,3321,557,53.87,58.27,49.9,175,111,64,61.19,2.63,1.67,149.09,124.3,24.79,54.53,2.24,1.87,282,265,-17,8.45,93.99,102.44
"BUF","2013-2014",82,3890.77,3010,3982,-972,43.05,46.42,61.41,96,166,-70,36.64,1.48,2.56,117.79,161.8,-44.01,42.13,1.82,2.5,267,271,4,5.84,92.29,98.13
"CAR","2013-2014",82,3938.25,3818,3776,42,50.28,58.17,57.53,137,150,-13,47.74,2.09,2.29,153.22,163.72,-10.5,48.34,2.33,2.49,225,255,30,6.87,92.61,99.47
"CBJ","2013-2014",82,3838.15,3348,3361,-13,49.9,52.34,52.54,148,136,12,52.11,2.31,2.13,130.35,124.28,6.07,51.19,2.04,1.94,292,276,-16,8.06,92.78,100.84
"CGY","2013-2014",82,3993.28,3323,3847,-524,46.35,49.93,57.8,137,172,-35,44.34,2.06,2.58,130.22,148.78,-18.56,46.67,1.96,2.24,258,248,-10,7.91,90.89,98.8
"CHI","2013-2014",82,3979.35,3890,3129,761,55.42,58.65,47.18,182,149,33,54.98,2.74,2.25,160.59,129.35,31.24,55.39,2.42,1.95,244,231,-13,8.44,91.39,99.83
"COL","2013-2014",82,3940.3,3405,3849,-444,46.94,51.85,58.61,164,142,22,53.59,2.5,2.16,135.98,156.93,-20.95,46.42,2.07,2.39,241,243,2,8.77,93.08,101.85
"DAL","2013-2014",82,3863.82,3709,3632,77,50.52,57.6,56.4,161,148,13,52.1,2.5,2.3,158.32,152.46,5.86,50.94,2.46,2.37,263,298,35,8.31,92.1,100.41
