"Team","Season","GP","TOI","CF","CA","C+/-","CF%","CF/60","CA/60","GF","GA","G+/-","GF%","GF/60","GA/60","xGF","xGA","xG+/-","xGF%","xGF/60","xGA/60","PENT","PEND","P+/-","Sh%","Sv%","PDO"
"ANA","2012-2013",48,2319.8,1970,2140,-170,47.93,50.95,55.35,89,72,17,55.28,2.3,1.86,81.87,81.65,0.22,50.07,2.12,2.11,162,137,-25,8.59,93.01,101.6
"ARI","2012-2013",48,2265.41,2173,2117,56,50.65,57.55,56.07,86,81,5,51.5,2.28,2.15,84.2,87.15,-2.95,49.14,2.23,2.31,157,166,9,7.42,92.93,100.35
"BOS","2012-2013",48,2323.98,2391,2005,386,54.39,61.73,51.76,92,74,18,55.42,2.38,1.91,94.21,82.75,11.46,53.24,2.43,2.14,177,146,-31,7.31,93.18,100.49
"BUF","2012-2013",48,2237.58,1811,2204,-393,45.11,48.56,59.1,80,89,-9,47.34,2.15,2.39,70.2,89.76,-19.56,43.89,1.88,2.41,185,185,0,8,92.58,100.58
"CAR","2012-2013",48,2268.18,2337,2190,147,51.62,61.82,57.93,88,104,-16,45.83,2.33,2.75,96.2,103.77,-7.57,48.11,2.54,2.75,157,163,6,7.28,91.21,98.49
"CBJ","2012-2013",48,2294.78,1811,2031,-220,47.14,47.35,53.1,83,79,4,51.23,2.17,2.07,66.86,77.46,-10.6,46.33,1.75,2.03,188,181,-7,8.71,93.01,101.72
"CGY","2012-2013",48,2305.28,1950,2164,-214,47.4,50.75,56.32,82,121,-39,40.39,2.13,3.15,83.09,90.97,-7.88,47.74,2.16,2.37,165,156,-9,7.9,89.27,97.17
"CHI","2012-2013",48,2300.8,2103,1783,320,54.12,54.84,46.5,105,68,37,60.69,2.74,1.77,86.14,75.11,11.03,53.42,2.25,1.96,151,159,8,8.97,92.94,101.91
"COL","2012-2013",48,2287.01,2072,2171,-99,48.83,54.36,56.96,79,97,-18,44.89,2.07,2.54,80.91,86.53,-5.62,48.32,2.12,2.27,187,156,-31,7.07,91.42,98.49
"DAL","2012-2013",48,2233.56,1990,2084,-94,48.85,53.46,55.98,92,92,0,50,2.47,2.47,79.14,91.93,-12.79,46.26,2.13,2.47,190,180,-10,9.47,91.74,101.21
"DET","2012-2013",48,2252.45,2069,1793,276,53.57,55.11,47.76,74,67,7,52.48,1.97,1.78,84.7,76.98,7.72,52.39,2.26,2.05,152,162,10,6.65,93.46,100.11
"EDM","2012-2013",48,2244.12,1818,2259,-441,44.59,48.61,60.4,80,90,-10,47.06,2.14,2.41,77.17,98.37,-21.2,43.96,2.06,2.63,162,169,7,8.07,92.52,100.59
"FLA","2012-2013",48,2338.17,2048,2121,-73,49.12,52.55,54.43,66,116,-50,36.26,1.69,2.98,75.78,90.81,-15.03,45.49,1.94,2.33,157,158,1,5.94,90.34,96.28
"L.A","2012-2013",48,2282.41,2175,1686,489,56.33,57.18,44.32,86,79,7,52.12,2.26,2.08,85.09,69.74,15.35,54.96,2.24,1.83,163,156,-7,7.59,91.49,99.08
"MIN","2012-2013",48,2269.37,1883,1925,-42,49.45,49.78,50.9,79,89,-10,47.02,2.09,2.35,77.14,70.94,6.2,52.09,2.04,1.88,164,153,-11,7.71,91.33,99.03
