"Team","Season","GP","TOI","CF","CA","C+/-","CF%","CF/60","CA/60","GF","GA","G+/-","GF%","GF/60","GA/60","xGF","xGA","xG+/-","xGF%","xGF/60","xGA/60","PENT","PEND","P+/-","Sh%","Sv%","PDO"
"ANA","2014-2015",82,3902.03,3610,3474,136,50.96,55.51,53.42,158,149,9,51.47,2.43,2.29,149.09,136.88,12.21,52.13,2.29,2.1,263,251,-12,8.48,91.82,100.3
"ARI","2014-2015",82,3947.18,3612,3812,-200,48.65,54.91,57.95,106,173,-67,37.99,1.61,2.63,132.22,155.95,-23.73,45.88,2.01,2.37,260,245,-15,5.72,91.52,97.24
"BOS","2014-2015",82,4014.31,3729,3486,243,51.68,55.74,52.1,140,137,3,50.54,2.09,2.05,136,130.39,5.61,51.05,2.03,1.95,255,231,-24,7.12,92.94,100.06
"BUF","2014-2015",82,3978.82,2647,4413,-1766,37.49,39.92,66.55,109,174,-65,38.52,1.64,2.62,112.37,168.39,-56.02,40.02,1.69,2.54,259,247,-12,7.14,92.41,99.55
"CAR","2014-2015",82,4001.27,3779,3439,340,52.36,56.67,51.57,125,161,-36,43.71,1.87,2.41,156.05,149.05,7,51.15,2.34,2.24,179,232,53,6.2,90.98,97.18
"CBJ","2014-2015",82,3869.97,3234,3601,-367,47.32,50.14,55.83,145,166,-21,46.62,2.25,2.57,133.26,149.06,-15.8,47.2,2.07,2.31,318,277,-41,7.97,91.87,99.85
"CGY","2014-2015",82,3981.8,3322,4149,-827,44.47,50.06,62.52,150,154,-4,49.34,2.26,2.32,131.88,153.57,-21.69,46.2,1.99,2.31,210,250,40,8.88,92.15,101.03
"CHI","2014-2015",82,3980.1,4003,3462,541,53.62,60.35,52.19,150,128,22,53.96,2.26,1.93,155.07,152.05,3.02,50.49,2.34,2.29,225,248,23,6.87,93.54,100.41
"COL","2014-2015",82,3903.85,3078,4039,-961,43.25,47.31,62.08,152,156,-4,49.35,2.34,2.4,123.07,161.29,-38.22,43.28,1.89,2.48,247,246,-1,8.75,92.52,101.27
"DAL","2014-2015",82,3863.02,3966,3645,321,52.11,61.6,56.61,175,171,4,50.58,2.72,2.66,165.15,153.06,12.09,51.9,2.57,2.38,256,302,46,8.82,90.91,99.73
"DET","2014-2015",82,3826.07,3361,2924,437,53.48,52.71,45.85,132,126,6,51.16,2.07,1.98,134.63,126.06,8.57,51.64,2.11,1.98,256,276,20,7.33,92.61,99.93
"EDM","2014-2015",82,4066.45,3569,3854,-285,48.08,52.66,56.87,133,198,-65,40.18,1.96,2.92,139.6,169.44,-29.84,45.17,2.06,2.5,234,235,1,7.2,90.14,97.34
"FLA","2014-2015",82,3930.18,3525,3349,176,51.28,53.81,51.13,144,141,3,50.53,2.2,2.15,137.29,128.21,9.08,51.71,2.1,1.96,254,263,9,7.27,92.38,99.65
"L.A","2014-2015",82,3961,3907,3149,758,55.37,59.18,47.7,154,126,28,55,2.33,1.91,153.68,127.6,26.08,54.64,2.33,1.93,250,250,0,7.58,92.58,100.15
"MIN","2014-2015",82,3911.92,3581,3433,148,51.06,54.92,52.65,166,144,22,53.55,2.55,2.21,146.63,118.95,27.68,55.21,2.25,1.82,230,249,19,8.56,91.85,100.4
"MTL","2014-2015",82,3932.83,3545,3762,-217,48.52,54.08,57.39,146,121,25,54.68,2.23,1.85,137.4,143.59,-6.19,48.9,2.1,2.19,263,247,-16,7.98,93.68,101.66
